10 10 
   1.0814724e+01   5.3170251e-01   3.9136376e-01   8.0971097e-01   5.3555180e-01   1.8678274e-01   5.1488264e-01   6.9379939e-01   6.5458317e-01   5.2037141e-01
   5.3170251e-01   1.0970593e+01   4.9643931e-01   2.5860425e-01   5.9091946e-01   4.1079451e-01   3.3842820e-01   5.8500885e-01   8.1151798e-01   5.0672127e-01
   3.9136376e-01   4.9643931e-01   1.0849129e+01   6.0545812e-01   7.2212597e-01   7.0641907e-01   6.2454476e-01   6.0325592e-01   6.2037099e-01   3.5099212e-01
   8.0971097e-01   2.5860425e-01   6.0545812e-01   1.0046171e+01   4.4616584e-01   4.9303478e-01   6.9695267e-01   2.8031222e-01   7.4997283e-01   4.0680666e-01
   5.3555180e-01   5.9091946e-01   7.2212597e-01   4.4616584e-01   1.0186873e+01   3.0438104e-01   6.6824473e-01   7.8778832e-01   8.1327925e-01   8.4434868e-01
   1.8678274e-01   4.1079451e-01   7.0641907e-01   4.9303478e-01   3.0438104e-01   1.0498364e+01   9.5951769e-01   3.4518475e-01   4.3555338e-01   1.7685907e-01
   5.1488264e-01   3.3842820e-01   6.2454476e-01   6.9695267e-01   6.6824473e-01   9.5951769e-01   1.0547216e+01   1.6760985e-01   4.5324712e-01   4.1316596e-01
   6.9379939e-01   5.8500885e-01   6.0325592e-01   2.8031222e-01   7.8778832e-01   3.4518475e-01   1.6760985e-01   1.0251084e+01   6.8488689e-01   4.7133974e-01
   6.5458317e-01   8.1151798e-01   6.2037099e-01   7.4997283e-01   8.1327925e-01   4.3555338e-01   4.5324712e-01   6.8488689e-01   1.0380446e+01   2.8986186e-01
   5.2037141e-01   5.0672127e-01   3.5099212e-01   4.0680666e-01   8.4434868e-01   1.7685907e-01   4.1316596e-01   4.7133974e-01   2.8986186e-01   1.0337123e+01
